stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
6194,1181RR,Lago di Tesero,,46.281976,11.514999,1190
6204,4129MP,Canale di Pergine Valsugana,,46.040240,11.227662,4200
6207,2160RE,Pregasina Regina Mundi,,45.854819,10.829186,2160
6209,6570HP,Sarnonico Hotel Paradiso,,46.424382,11.178491,6570
6211,2023RP,M. Terlago. Via Della Rogia,,46.107744,11.038623,2023
6212,0001EU,Trento. Bren Center,,46.091409,11.115340,0001
6213,0935BR,Gardolo. Bivio Spini,,46.120367,11.105887,0937
6214,0938RR,Lamar di Gardolo Ss.12-Ftm,,46.125959,11.107667,0937
6215,1070MA,Cavalese. Via Marmolaia,,46.287314,11.450754,1070
6216,1100CO,Civezzano.Centro Europa Sud,,46.082912,11.199716,1100
6224,6112SE,Maso Nuovo Sp21 La Quercia,,46.240158,11.155291,6112
6226,2050LA,Stravino Civ. 36,,46.005101,10.980906,2050
6227,2056SP,Luch Sp84_Km12.800,,45.967145,10.965328,2056
6229,2040LO,Vezzano. Ss45,,46.078235,11.006657,2040
6230,3352CP,Borghetto Via Alla Cà,,45.698108,10.928621,3352
6232,2058WI,Lago Cavedine-Civ. 35,,45.998571,10.954004,2058
6234,3310PA,Mori. Loc. Palù,,45.854697,10.949215,3460
6238,3750PA,Bosentino-Loc.Prai,,46.004176,11.233596,3740
6241,3310PR,Mori. Loc. Palù,,45.854683,10.948970,3460
6244,3460SC,Loppio Ss 240,,45.854569,10.934501,3460
6249,2057RM,Drena. Via Roma 70,,45.969591,10.947615,2057
6251,2228VE,Albola. Condominio 23,,45.895937,10.844117,0960
6260,2137LD,Pasina,,45.901027,10.844931,2136
6262,2193LF,Gavazzo Località Le Foci,,45.912443,10.837495,2193
6280,4131MG,Maso Gretter,,46.032338,11.216949,4250
6281,4131MU,Maso Ungherl,,46.034803,11.217487,4250
6283,3792RR,Maso Uez,,45.972960,11.233212,3790
6285,3770RR,Pian Dei Pradi,,45.979044,11.237366,3770
6287,3791KR,Ss.349 Al Km. 15,,45.989044,11.222355,3760
6288,3760DR,Vattaro. Civ.80,,45.990024,11.218970,3760
6289,3760RR,Vattaro,,45.992589,11.218982,3760
6293,3740DR,V. Vattaro. Difr.Civ.10B,,46.005904,11.190840,3740
6294,3740UR,V.Vattaro Loc.Ca' Da Ronc,,46.006519,11.170405,3740
6296,3730RR,Valsorda,,46.007837,11.156881,3730
6300,3710RR,S.Rocco,,46.035389,11.145806,3710
6303,3700RR,Cernidor,,46.047893,11.137539,0001
6309,1123CA,Facendi. Via Dei Castegnari,,46.222854,11.316131,1123
6310,4129PU,Canale di Pergine Valsugana,,46.036663,11.225975,4200
6311,1114CA,Lona-Via Provinciale,,46.166198,11.243917,1114
6312,1114CR,Lona-Via Provinciale,,46.167111,11.245509,1114
6313,4024AD,Tressilla. Bivio Via Capitel,,46.127122,11.234071,4024
6314,4024AR,Tressilla Bivio Via Capitel,,46.127117,11.233850,4024
6317,1224AP,Passo Rolle Area Pic-Nic,,46.279588,11.802841,1224
6318,1224AR,Passo Rolle Area Pic-Nic,,46.279651,11.802494,1224
6320,4300RT,Levico Terme Autostazione,,46.010093,11.299169,4300
6325,0001BR,Trento. Bellevue,,46.053008,11.136400,0001
6326,0001SZ,Trento. Cavalcavia S.Lorenzo,,46.070046,11.116680,0001
6327,0001BX,Trento Via Brescia 4,,46.070529,11.111408,0001
6329,6152SC,Cunevo Via Provinciale 2,,46.288766,11.036161,6152
6330,3100ZG,Rovereto. V.Zugna Bv.V.Pinera,,45.882954,11.048644,3100
6331,5010MU,Feltre. Bivio Mugnai,,46.012884,11.870620,5010
6338,4448RR,Spera,,46.070259,11.508840,4520
6340,1074MG,Palù di Giovo. Maso Giaz,,46.169978,11.135421,1074
6341,1220IZ,Predazzo. I.T.C.,,46.310912,11.599014,1220
6369,2136RR,Varone. Alberello,,45.907261,10.840173,2136
6370,2136BZ,Varone. Via Ballino 14,,45.904407,10.841871,2136
6374,3532MB,S.Alessandro. Maso Belli,,45.889730,10.855590,0960
6375,3520LZ,Arco. Piazza Italia,,45.920053,10.891252,3520
6376,3529RR,Caneve,,45.916661,10.892285,3520
6383,6340SC,Carciato. Scuola Elementare,,46.325611,10.880749,6340
6385,2188PA,Ballino Ss421,,45.975812,10.821427,2188
6386,2188PR,Ballino Ss421,,45.975741,10.821373,2188
6389,1079PS,Faver. Loc. Portegnago-Scol,,46.198635,11.246638,1079
6394,6154SP,Terres Sp73,,46.307184,11.024753,6154
6398,3610VS,Ravina. Via Del Ponte,,46.035769,11.114347,3610
6400,3534RR,Vignole-Dir. Arco,,45.908955,10.901590,3520
6401,3531RR,Bolognano. Bivio-Dir. Arco,,45.910867,10.900276,3520
6402,3520MY,Arco. V.Le Rovereto-Dir. Arco,,45.912985,10.897369,3520
6403,2193RR,Gavazzo,,45.912491,10.840953,2193
6404,2192BR,Cologna. Belvedere,,45.913960,10.841414,2192
6405,2192RR,Cologna,,45.914858,10.842364,2192
6408,2210BR,Ville Del Monte I,,45.927398,10.825672,2210
6409,2210RR,Ville Del Monte,,45.930258,10.822410,2210
6411,2185PR,Fiavè Pineta,,45.988123,10.833075,2187
6412,2185DR,Doss,,45.996896,10.840785,2185
6414,2180VR,Ponte Arche-Via Prati 8,,46.033789,10.870135,2180
6415,2180CR,Ponte Arche-Via Ballino,,46.031285,10.868635,2180
6417,1079VP,Faver. Via Perlaia,,46.180742,11.234273,1079
6418,6137VR,Andalo-Via Paganella,,46.164115,11.004457,6137
6422,2215LU,Sclemo. Loc. Luch,,46.057652,10.886418,2215
6423,2191VL,Tenno. Via Dei Laghi.103,,45.921679,10.831261,2191
6425,2191VR,Tenno. Via Dei Laghi.103,,45.921650,10.831402,2191
6428,4026VI,Ferrari Villetta,,46.118753,11.237942,4026
